Timestamp,Lat,Lon,Alt(m),PM2.5,eCO2,AQI
2026-04-29 13:35:39,16.06599995833854,108.16299750052079,15.0,8.3,527,1
2026-04-29 13:35:39,16.066198876264945,108.16297754215587,15.0,11.3,755,2
2026-04-29 13:35:40,16.066099666833292,108.16299000833055,15.0,34.8,661,1
2026-04-29 13:35:40,16.066297338661588,108.16296013315568,15.0,28.7,513,1
2026-04-29 13:35:41,16.066198876264945,108.16297754215587,15.0,31.1,419,1
2026-04-29 13:35:41,16.06639480791851,108.16293782484343,15.0,11.4,615,1
2026-04-29 13:35:42,16.066297338661588,108.16296013315568,15.0,18.6,484,2
2026-04-29 13:35:42,16.06649104041332,108.16291067297826,15.0,30.0,735,1
2026-04-29 13:35:43,16.06639480791851,108.16293782484343,15.0,7.9,778,2
2026-04-29 13:35:43,16.06658579561491,108.1628787454257,15.0,14.6,617,1
2026-04-29 13:35:44,16.06649104041332,108.16291067297826,15.0,21.2,604,2
2026-04-29 13:35:44,16.066678836684616,108.162842121988,15.0,17.5,499,1
2026-04-29 13:35:45,16.06658579561491,108.1628787454257,15.0,15.4,401,2
2026-04-29 13:35:45,16.066769931068222,108.16280089420471,15.0,35.0,532,2
2026-04-29 13:35:46,16.066678836684616,108.162842121988,15.0,18.8,765,2
2026-04-29 13:35:46,16.066858851077207,108.16275516512378,15.0,22.4,666,2
2026-04-29 13:35:47,16.066769931068222,108.16280089420471,15.0,12.6,404,2
2026-04-29 13:35:47,16.06694537445786,108.16270504904412,15.0,129.1,1723,4
2026-04-29 13:35:48,16.066858851077207,108.16275516512378,15.0,19.4,449,2
2026-04-29 13:35:48,16.067029284946788,108.16265067122983,15.0,57.0,1720,4
2026-04-29 13:35:49,16.06694537445786,108.16270504904412,15.0,125.0,1098,4
2026-04-29 13:35:49,16.06711037281147,108.1625921675971,15.0,135.0,1287,5
2026-04-29 13:35:50,16.067029284946788,108.16265067122983,15.0,82.0,1090,4
2026-04-29 13:35:50,16.067188435374476,108.16252968437458,15.0,145.6,1750,4
2026-04-29 13:35:51,16.06711037281147,108.1625921675971,15.0,80.5,1086,5
2026-04-29 13:35:51,16.067263277520045,108.16246337773775,15.0,149.4,1126,5
2026-04-29 13:35:52,16.067188435374476,108.16252968437458,15.0,135.2,1779,5
2026-04-29 13:35:52,16.067334712181797,108.1623934134187,15.0,111.0,1978,4
2026-04-29 13:35:53,16.067263277520045,108.16246337773775,15.0,57.1,1358,4
2026-04-29 13:35:53,16.06740256081028,108.16231996629178,15.0,119.9,1925,4
2026-04-29 13:35:54,16.067334712181797,108.1623934134187,15.0,75.2,1814,4
2026-04-29 13:35:54,16.067466653819253,108.16224321993654,15.0,105.9,1349,4
2026-04-29 13:35:55,16.06740256081028,108.16231996629178,15.0,92.0,1251,4
2026-04-29 13:35:55,16.067526831009577,108.16216336617893,15.0,83.3,1649,4
2026-04-29 13:35:56,16.067466653819253,108.16224321993654,15.0,106.9,1028,4
2026-04-29 13:35:56,16.067582941969615,108.16208060461173,15.0,62.4,1617,4
2026-04-29 13:35:57,16.067526831009577,108.16216336617893,15.0,106.0,1663,4
2026-04-29 13:35:57,16.06763484645119,108.16199514209579,15.0,132.1,1507,4
2026-04-29 13:35:58,16.067582941969615,108.16208060461173,15.0,109.4,1852,5
2026-04-29 13:35:58,16.06768241472012,108.16190719224285,15.0,69.3,1290,5
2026-04-29 13:35:59,16.06763484645119,108.16199514209579,15.0,139.8,1319,4
2026-04-29 13:35:59,16.06772552788052,108.16181697488177,15.0,145.3,1213,4
2026-04-29 13:36:00,16.06768241472012,108.16190719224285,15.0,138.6,1616,4
2026-04-29 13:36:00,16.067764078171933,108.16172471550895,15.0,74.6,1707,4
2026-04-29 13:36:01,16.06772552788052,108.16181697488177,15.0,82.0,1557,5
2026-04-29 13:36:01,16.06779796923871,108.1616306447248,15.0,76.0,1053,5
2026-04-29 13:36:02,16.067764078171933,108.16172471550895,15.0,141.3,1438,4
2026-04-29 13:36:02,16.067827116370832,108.16153499765726,15.0,89.4,1430,4
2026-04-29 13:36:03,16.06779796923871,108.1616306447248,15.0,81.8,1516,4
2026-04-29 13:36:03,16.067851446715654,108.16143801337418,15.0,67.5,1124,4
2026-04-29 13:36:04,16.067827116370832,108.16153499765726,15.0,83.5,1078,4
2026-04-29 13:36:04,16.067870899459976,108.1613399342858,15.0,96.4,1787,4
2026-04-29 13:36:05,16.067851446715654,108.16143801337418,15.0,115.1,1263,5
2026-04-29 13:36:05,16.067885425982073,108.16124100553874,15.0,58.0,1964,5
2026-04-29 13:36:06,16.067870899459976,108.1613399342858,15.0,76.7,1951,4
2026-04-29 13:36:06,16.067894989973208,108.16114147440334,15.0,81.9,1682,5
2026-04-29 13:36:07,16.067885425982073,108.16124100553874,15.0,127.4,1003,5
2026-04-29 13:36:07,16.06789956752838,108.16104158965561,15.0,100.7,1182,4
2026-04-29 13:36:08,16.067894989973208,108.16114147440334,15.0,132.8,1372,5
2026-04-29 13:36:08,16.06789914720608,108.1609416009554,15.0,72.3,1671,5
2026-04-29 13:36:09,16.06789956752838,108.16104158965561,15.0,83.9,1242,4
2026-04-29 13:36:09,16.067893730056905,108.16084175822239,15.0,101.0,1338,5
2026-04-29 13:36:10,16.06789914720608,108.1609416009554,15.0,89.4,1375,5
2026-04-29 13:36:10,16.067883329620905,108.1607423110114,15.0,131.9,1275,4
2026-04-29 13:36:11,16.067893730056905,108.16084175822239,15.0,122.1,1014,4
2026-04-29 13:36:11,16.067867971893747,108.16064350788871,15.0,105.6,1844,4
2026-04-29 13:36:12,16.067883329620905,108.1607423110114,15.0,139.1,1893,5
2026-04-29 13:36:12,16.067847695261754,108.16054559581062,15.0,55.6,1458,5
2026-04-29 13:36:13,16.067867971893747,108.16064350788871,15.0,89.0,1133,4
2026-04-29 13:36:13,16.06782255040595,108.16044881950636,15.0,139.2,1152,4
2026-04-29 13:36:14,16.067847695261754,108.16054559581062,15.0,71.1,1529,4
2026-04-29 13:36:14,16.067792600175373,108.16035342086627,15.0,72.5,1884,5
2026-04-29 13:36:15,16.06782255040595,108.16044881950636,15.0,138.3,1934,5
2026-04-29 13:36:15,16.067757919430008,108.1602596383373,15.0,80.8,1049,4
2026-04-29 13:36:16,16.067792600175373,108.16035342086627,15.0,116.1,1248,5
2026-04-29 13:36:16,16.067718594853652,108.1601677063269,15.0,81.1,1934,4
2026-04-29 13:36:17,16.067757919430008,108.1602596383373,15.0,77.1,1864,5
2026-04-29 13:36:17,16.067674724737266,108.16007785461724,15.0,87.8,1707,4
2026-04-29 13:36:18,16.067718594853652,108.1601677063269,15.0,109.3,1593,5
2026-04-29 13:36:18,16.067626418733298,108.1599903077908,15.0,69.5,1853,4
2026-04-29 13:36:19,16.067674724737266,108.16007785461724,15.0,56.9,1718,4
2026-04-29 13:36:19,16.067573797581595,108.15990528466904,15.0,116.9,1960,5
2026-04-29 13:36:20,16.067626418733298,108.1599903077908,15.0,114.6,1216,5
2026-04-29 13:36:20,16.06751699280764,108.15982299776549,15.0,77.6,1954,4
2026-04-29 13:36:21,16.067573797581595,108.15990528466904,15.0,109.0,1165,4
2026-04-29 13:36:21,16.067456146393774,108.15974365275456,15.0,81.7,1536,4
2026-04-29 13:36:22,16.06751699280764,108.15982299776549,15.0,137.3,1984,5
