Timestamp,Lat,Lon,Alt(m),PM2.5,eCO2,AQI
2026-04-29 13:41:14,16.06599995833854,108.16299750052079,15.0,16.0,704,2
2026-04-29 13:41:14,16.066198876264945,108.16297754215587,15.0,11.7,452,2
2026-04-29 13:41:15,16.066099666833292,108.16299000833055,15.0,27.6,414,1
2026-04-29 13:41:15,16.066297338661588,108.16296013315568,15.0,28.9,576,1
2026-04-29 13:41:16,16.066198876264945,108.16297754215587,15.0,10.2,597,2
2026-04-29 13:41:16,16.06639480791851,108.16293782484343,15.0,33.3,408,2
2026-04-29 13:41:17,16.066297338661588,108.16296013315568,15.0,27.5,456,1
2026-04-29 13:41:17,16.06649104041332,108.16291067297826,15.0,14.6,503,1
2026-04-29 13:41:18,16.06639480791851,108.16293782484343,15.0,18.2,691,1
2026-04-29 13:41:18,16.06658579561491,108.1628787454257,15.0,17.4,700,1
2026-04-29 13:41:19,16.06649104041332,108.16291067297826,15.0,7.5,649,1
2026-04-29 13:41:19,16.066678836684616,108.162842121988,15.0,11.8,769,1
2026-04-29 13:41:20,16.06658579561491,108.1628787454257,15.0,21.5,612,1
2026-04-29 13:41:20,16.066769931068222,108.16280089420471,15.0,12.6,685,1
2026-04-29 13:41:21,16.066678836684616,108.162842121988,15.0,21.4,766,2
2026-04-29 13:41:21,16.066858851077207,108.16275516512378,15.0,11.5,461,2
2026-04-29 13:41:22,16.066769931068222,108.16280089420471,15.0,31.9,696,1
2026-04-29 13:41:22,16.06694537445786,108.16270504904412,15.0,89.5,1127,5
2026-04-29 13:41:23,16.066858851077207,108.16275516512378,15.0,13.4,612,1
2026-04-29 13:41:23,16.067029284946788,108.16265067122983,15.0,55.6,1485,4
2026-04-29 13:41:24,16.06694537445786,108.16270504904412,15.0,72.1,1304,5
2026-04-29 13:41:24,16.06711037281147,108.1625921675971,15.0,104.2,1481,5
2026-04-29 13:41:25,16.067029284946788,108.16265067122983,15.0,138.0,1593,4
2026-04-29 13:41:25,16.067188435374476,108.16252968437458,15.0,72.0,1837,5
2026-04-29 13:41:26,16.06711037281147,108.1625921675971,15.0,125.4,1263,4
2026-04-29 13:41:26,16.067263277520045,108.16246337773775,15.0,60.3,1476,5
