sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:49:32.766829,16.0738899,108.1541323,30,0.0,880.2,151.4,30.65,19.47,8,1.57,15.6
2,2026-05-15T10:49:34.771499,16.0738899,108.1541323,30,0.0,842.4,126.2,30.66,19.47,8,1.57,15.4
3,2026-05-15T10:49:36.778787,16.0738899,108.1541323,30,0.0,844.2,128.5,30.66,19.47,8,1.56,15.4
4,2026-05-15T10:49:38.788694,16.0738899,108.1541323,30,0.0,853.2,135.4,30.66,19.47,8,1.57,15.4
5,2026-05-15T10:49:40.796274,16.0738899,108.1541323,30,0.0,871.2,146.8,30.65,19.47,8,1.56,15.5
6,2026-05-15T10:49:42.799441,16.0738899,108.1541323,30,0.0,907.2,169.8,30.67,19.47,8,1.56,15.8
7,2026-05-15T10:49:44.804908,16.0738899,108.1541323,30,0.0,892.8,160.6,30.66,19.47,8,1.57,15.6
8,2026-05-15T10:49:46.812692,16.0738899,108.1541323,30,0.0,880.2,151.4,30.68,19.47,8,1.57,15.6
9,2026-05-15T10:49:48.818857,16.0738899,108.1541323,30,0.0,856.8,135.4,30.69,19.47,8,1.57,15.8
10,2026-05-15T10:49:50.823300,16.0738899,108.1541323,30,0.0,856.8,135.4,30.69,19.47,8,1.57,15.6
11,2026-05-15T10:49:52.833023,16.0738899,108.1541323,30,0.0,869.4,144.6,30.7,19.47,8,1.57,15.5
12,2026-05-15T10:49:54.836310,16.0738899,108.1541323,30,0.0,862.2,140.0,30.71,19.47,8,1.56,15.5
13,2026-05-15T10:49:56.844083,16.0738899,108.1541323,30,0.0,860.4,137.7,30.7,19.47,8,1.57,15.5
14,2026-05-15T10:49:58.849210,16.0738899,108.1541323,30,0.0,853.2,133.1,30.68,19.47,8,1.55,15.5
15,2026-05-15T10:50:00.862584,16.0738899,108.1541323,30,0.0,819.0,112.4,30.71,19.47,8,1.55,15.6
16,2026-05-15T10:50:02.866475,16.0738899,108.1541323,30,0.0,885.6,156.0,30.74,19.47,8,1.57,15.4
17,2026-05-15T10:50:04.771542,16.0738899,108.1541323,30,0.0,824.4,117.0,30.71,19.47,8,1.57,15.5
18,2026-05-15T10:50:06.778914,16.0738899,108.1541323,30,0.0,842.4,128.5,30.72,19.47,8,1.57,15.4
19,2026-05-15T10:50:08.782871,16.0738899,108.1541323,30,0.0,846.0,128.5,30.73,19.47,8,1.56,15.7
20,2026-05-15T10:50:10.791160,16.0738899,108.1541323,30,0.0,842.4,128.5,30.74,19.47,8,1.57,15.2
21,2026-05-15T10:50:12.800395,16.0738899,108.1541323,30,0.0,837.0,123.9,30.73,19.47,8,1.57,15.4
22,2026-05-15T10:50:14.806883,16.0738899,108.1541323,30,0.0,867.6,142.3,30.7,19.47,8,1.58,15.4
23,2026-05-15T10:50:16.811770,16.0738899,108.1541323,30,0.0,880.2,151.4,30.67,19.47,8,1.56,15.5
24,2026-05-15T10:50:18.820025,16.0738899,108.1541323,30,0.0,847.8,130.8,30.7,19.47,8,1.57,15.4
25,2026-05-15T10:50:20.825324,16.0738899,108.1541323,30,0.0,878.4,151.4,30.7,19.47,8,1.57,15.2
26,2026-05-15T10:50:22.829253,16.0738899,108.1541323,30,0.0,858.6,137.7,30.7,19.47,8,1.56,15.4
27,2026-05-15T10:50:24.838809,16.0738899,108.1541323,30,0.0,847.8,130.8,30.72,19.47,8,1.57,15.4
28,2026-05-15T10:50:26.844847,16.0738899,108.1541323,30,0.0,880.2,151.4,30.74,19.47,8,1.55,15.5
29,2026-05-15T10:50:28.850993,16.0738899,108.1541323,30,0.0,860.4,137.7,30.71,19.47,8,1.56,15.4
30,2026-05-15T10:50:30.858898,16.0738899,108.1541323,30,0.0,860.4,137.7,30.71,19.47,8,1.56,15.5
