sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T17:39:01.513136,16.0746001,108.1531793,30,0.0,784.8,91.8,28.74,88.68,11,1.58,21.2
2,2026-05-15T17:39:03.514684,16.0746001,108.1531793,30,0.0,763.2,78.0,28.76,88.58,11,1.58,21.1
3,2026-05-15T17:39:05.516161,16.0746001,108.1531793,30,0.0,754.2,73.4,28.8,88.21,11,1.58,21.0
4,2026-05-15T17:39:07.517543,16.0746001,108.1531793,30,0.0,757.8,75.7,28.84,87.9,10,1.57,21.1
5,2026-05-15T17:39:09.519142,16.0746001,108.1531793,30,0.0,747.0,68.8,28.86,87.77,11,1.57,21.2
6,2026-05-15T17:39:11.520445,16.0746001,108.1531793,30,0.0,799.2,101.0,28.83,87.9,10,1.57,20.9
7,2026-05-15T17:39:13.521744,16.0746001,108.1531793,30,0.0,781.2,89.5,28.84,87.95,10,1.56,20.8
8,2026-05-15T17:39:15.523082,16.0746001,108.1531793,30,0.0,784.8,91.8,28.89,87.84,10,1.56,20.8
9,2026-05-15T17:39:17.524381,16.0746001,108.1531793,30,0.0,786.6,94.1,28.88,87.69,10,1.57,20.7
10,2026-05-15T17:39:19.525785,16.0746001,108.1531793,30,0.0,770.4,82.6,28.9,87.29,10,1.56,20.5
11,2026-05-15T17:39:21.527545,16.0746001,108.1531793,30,0.0,786.6,94.1,28.91,86.92,10,1.56,20.5
12,2026-05-15T17:39:23.528834,16.0746001,108.1531793,30,0.0,786.6,94.1,28.91,86.92,10,1.55,20.6
13,2026-05-15T17:39:25.530142,16.0746001,108.1531793,30,0.0,783.0,89.5,28.9,86.94,10,1.56,20.4
14,2026-05-15T17:39:27.531455,16.0746001,108.1531793,30,0.0,763.2,80.3,28.9,86.92,10,1.55,20.3
15,2026-05-15T17:39:29.532762,16.0746001,108.1531793,30,0.0,752.4,73.4,28.9,87.05,10,1.54,20.3
16,2026-05-15T17:39:31.534071,16.0746001,108.1531793,30,0.0,763.2,80.3,28.95,86.8,10,1.56,20.2
17,2026-05-15T17:39:33.535401,16.0746001,108.1531793,30,0.0,757.8,75.7,29.01,86.5,10,1.54,20.2
18,2026-05-15T17:39:35.536766,16.0746001,108.1531793,30,0.0,759.6,75.7,28.98,86.37,10,1.54,20.1
19,2026-05-15T17:39:37.540100,16.0746001,108.1531793,30,0.0,743.4,66.5,28.95,86.82,10,1.55,20.1
20,2026-05-15T17:39:39.542987,16.0746001,108.1531793,30,0.0,736.2,62.0,28.96,86.84,10,1.55,20.0
21,2026-05-15T17:39:41.544300,16.0746001,108.1531793,30,0.0,779.4,87.2,29.01,86.69,10,1.54,19.8
22,2026-05-15T17:39:43.545826,16.0746001,108.1531793,30,0.0,795.6,98.7,29.01,86.32,10,1.54,19.8
23,2026-05-15T17:39:45.547127,16.0746001,108.1531793,30,0.0,772.2,84.9,28.99,85.99,10,1.54,19.8
24,2026-05-15T17:39:47.548425,16.0746001,108.1531793,30,0.0,772.2,84.9,29.02,85.88,10,1.53,19.6
25,2026-05-15T17:39:49.549709,16.0746001,108.1531793,30,0.0,759.6,75.7,29.04,85.76,10,1.54,19.6
26,2026-05-15T17:39:51.551069,16.0746001,108.1531793,30,0.0,763.2,80.3,29.03,85.77,10,1.53,19.5
27,2026-05-15T17:39:53.552435,16.0746001,108.1531793,30,0.0,765.0,80.3,29.03,85.8,10,1.53,19.7
28,2026-05-15T17:39:55.553906,16.0746001,108.1531793,30,0.0,770.4,82.6,29.06,85.76,10,1.54,19.7
29,2026-05-15T17:39:57.555238,16.0746001,108.1531793,30,0.0,770.4,82.6,29.06,85.76,10,1.54,19.6
30,2026-05-15T17:39:59.556660,16.0746001,108.1531793,30,0.0,752.4,73.4,29.03,85.75,10,1.52,19.5
