sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T12:59:18.036807,16.0743931,108.1529117,35.0,61.2,88.7,552.0,127.0,28.5,68.8,119,0.83,33.2
2,2026-09-24T12:59:19.081518,16.0743931,108.1529117,35.0,62.5,98.2,563.0,125.0,28.4,68.2,121,0.85,32.2
3,2026-09-24T12:59:20.128782,16.0743931,108.1529117,35.0,60.8,93.5,561.0,129.0,28.4,68.8,118,0.87,31.6
4,2026-09-24T12:59:21.174542,16.0743931,108.1529117,35.0,61.1,93.8,560.0,118.0,28.3,68.3,119,0.88,31.4
5,2026-09-24T12:59:22.220278,16.0743931,108.1529117,35.0,60.8,96.6,561.0,110.0,28.3,68.2,118,0.85,30.6
6,2026-09-24T12:59:23.265195,16.0743931,108.1529117,35.0,61.0,94.5,571.0,112.0,28.4,68.8,118,0.91,30.5
7,2026-09-24T12:59:24.309702,16.0743931,108.1529117,35.0,62.7,96.3,560.0,101.0,28.5,68.7,121,0.92,31.6
8,2026-09-24T12:59:25.355022,16.0743931,108.1529117,35.0,61.8,96.5,568.0,103.0,28.3,69.0,120,0.95,32.2
9,2026-09-24T12:59:26.401723,16.0743931,108.1529117,35.0,65.3,94.9,559.0,114.0,28.3,69.0,126,1.0,32.5
10,2026-09-24T12:59:27.447436,16.0743931,108.1529117,35.0,63.4,94.8,563.0,119.0,28.5,69.0,122,1.03,31.5
