sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T13:03:04.775766,16.0743766,108.1535769,35.0,61.7,97.3,583.0,111.0,28.4,68.0,119,0.79,28.7
2,2026-09-24T13:03:05.821065,16.0743766,108.1535769,35.0,62.9,88.4,567.0,110.0,28.4,68.3,121,0.82,30.4
3,2026-09-24T13:03:06.866757,16.0743766,108.1535769,35.0,61.8,90.0,565.0,108.0,28.4,68.8,120,0.8,29.5
4,2026-09-24T13:03:07.913106,16.0743766,108.1535769,35.0,61.5,91.8,556.0,102.0,28.3,68.8,119,0.8,29.3
5,2026-09-24T13:03:08.958164,16.0743766,108.1535769,35.0,64.6,90.6,567.0,105.0,28.4,68.0,124,0.8,29.1
6,2026-09-24T13:03:10.003162,16.0743766,108.1535769,35.0,63.6,97.3,564.0,112.0,28.4,68.6,123,0.75,30.4
7,2026-09-24T13:03:11.048571,16.0743766,108.1535769,35.0,62.1,97.6,558.0,103.0,28.4,68.7,120,0.75,31.2
8,2026-09-24T13:03:12.095001,16.0743766,108.1535769,35.0,59.0,83.8,540.0,96.0,28.4,68.2,115,0.71,30.6
9,2026-09-24T13:03:13.139943,16.0743766,108.1535769,35.0,59.7,91.9,551.0,80.0,28.3,68.8,116,0.76,31.0
10,2026-09-24T13:03:14.185386,16.0743766,108.1535769,35.0,57.5,91.9,550.0,80.0,28.3,68.6,113,0.72,31.5
