sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:53:02.561281,16.0756827,108.1513539,30,0.0,885.6,156.0,30.83,19.47,8,1.55,15.2
2,2026-05-15T10:53:04.567040,16.0756827,108.1513539,30,3.8,892.8,160.6,30.8,19.47,8,1.56,15.1
3,2026-05-15T10:53:06.573232,16.0756827,108.1513539,30,0.0,892.8,160.6,30.8,19.47,8,1.56,15.2
4,2026-05-15T10:53:08.582974,16.0756827,108.1513539,30,0.0,820.8,114.7,30.77,19.47,8,1.56,15.2
5,2026-05-15T10:53:10.588928,16.0756827,108.1513539,30,0.0,828.0,119.3,30.76,19.47,8,1.56,15.2
6,2026-05-15T10:53:12.592382,16.0756827,108.1513539,30,0.0,892.8,160.6,30.76,19.47,8,1.57,15.2
7,2026-05-15T10:53:14.595023,16.0756827,108.1513539,30,0.0,878.4,151.4,30.77,19.47,8,1.56,15.1
8,2026-05-15T10:53:16.599788,16.0756827,108.1513539,30,0.0,824.4,117.0,30.79,19.47,8,1.57,15.4
9,2026-05-15T10:53:18.602021,16.0756827,108.1513539,30,0.0,849.6,133.1,30.78,19.47,8,1.56,15.0
10,2026-05-15T10:53:20.609324,16.0756827,108.1513539,30,0.0,828.0,119.3,30.79,19.47,8,1.57,15.1
11,2026-05-15T10:53:22.613600,16.0756827,108.1513539,30,0.0,855.0,135.4,30.79,19.47,8,1.56,15.2
12,2026-05-15T10:53:24.619168,16.0756827,108.1513539,30,0.0,846.0,130.8,30.81,19.47,8,1.55,15.1
13,2026-05-15T10:53:26.629864,16.0756827,108.1513539,30,0.0,840.6,126.2,30.8,19.47,8,1.56,14.8
14,2026-05-15T10:53:28.640207,16.0756827,108.1513539,30,0.0,867.6,142.3,30.78,19.47,8,1.56,15.0
15,2026-05-15T10:53:30.642003,16.0756827,108.1513539,30,0.0,856.8,137.7,30.79,19.47,8,1.56,14.9
16,2026-05-15T10:53:32.646709,16.0756827,108.1513539,30,0.0,855.0,135.4,30.78,19.47,8,1.56,14.9
17,2026-05-15T10:53:34.651022,16.0756827,108.1513539,30,0.0,846.0,130.8,30.79,19.47,8,1.56,15.2
18,2026-05-15T10:53:36.654543,16.0756827,108.1513539,30,0.0,853.2,135.4,30.79,19.47,8,1.56,15.0
19,2026-05-15T10:53:38.658249,16.0756827,108.1513539,30,0.0,855.0,135.4,30.8,19.47,8,1.57,15.0
20,2026-05-15T10:53:40.567165,16.0756827,108.1513539,30,0.0,858.6,137.7,30.82,19.47,8,1.56,15.0
21,2026-05-15T10:53:42.572110,16.0756827,108.1513539,30,0.0,874.8,149.1,30.81,19.47,8,1.56,15.1
22,2026-05-15T10:53:44.577706,16.0756827,108.1513539,30,0.0,831.6,119.3,30.8,19.47,8,1.56,15.2
23,2026-05-15T10:53:46.579347,16.0756827,108.1513539,30,0.0,831.6,119.3,30.8,19.47,8,1.55,14.9
24,2026-05-15T10:53:48.589992,16.0756827,108.1513539,30,1678.9,869.4,144.6,30.84,19.47,8,1.55,14.9
25,2026-05-15T10:53:50.594291,16.0756827,108.1513539,30,1680.5,862.2,140.0,30.84,19.47,500,1.56,15.1
26,2026-05-15T10:53:52.597595,16.0756827,108.1513539,30,0.0,876.6,149.1,30.83,19.47,500,1.56,15.0
27,2026-05-15T10:53:54.602512,16.0756827,108.1513539,30,0.0,828.0,117.0,30.81,19.47,8,1.54,14.9
28,2026-05-15T10:53:56.608154,16.0756827,108.1513539,30,0.0,824.4,114.7,30.82,19.47,8,1.54,14.9
29,2026-05-15T10:53:58.612703,16.0756827,108.1513539,30,0.0,837.0,123.9,30.81,19.47,8,1.55,15.0
30,2026-05-15T10:54:00.622576,16.0756827,108.1513539,30,0.0,840.6,126.2,30.82,19.47,8,1.55,14.9
