sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T13:05:55.270114,16.0778814,108.154242,35.0,86.3,133.9,565.0,34.0,28.4,68.2,154,1.81,42.6
2,2026-09-24T13:05:56.314853,16.0778814,108.154242,35.0,85.2,127.5,564.0,31.0,28.5,68.7,154,1.85,43.0
3,2026-09-24T13:05:57.360247,16.0778814,108.154242,35.0,83.1,118.2,555.0,30.0,28.5,68.5,152,1.92,42.2
4,2026-09-24T13:05:58.406452,16.0778814,108.154242,35.0,83.2,123.8,540.0,23.0,28.4,68.2,152,1.92,41.6
5,2026-09-24T13:05:59.451709,16.0778814,108.154242,35.0,83.1,126.2,534.0,21.0,28.4,68.7,152,1.96,41.4
6,2026-09-24T13:06:00.498143,16.0778814,108.154242,35.0,84.0,134.0,533.0,26.0,28.3,68.9,153,1.97,42.3
7,2026-09-24T13:06:01.543191,16.0778814,108.154242,35.0,85.2,135.5,539.0,20.0,28.4,68.4,154,1.96,41.8
8,2026-09-24T13:06:02.588976,16.0778814,108.154242,35.0,85.5,136.3,528.0,20.0,28.4,68.3,154,1.97,42.0
9,2026-09-24T13:06:03.635771,16.0778814,108.154242,35.0,87.8,130.4,530.0,20.0,28.3,68.4,156,1.96,42.2
10,2026-09-24T13:06:04.682381,16.0778814,108.154242,35.0,88.5,133.2,530.0,20.0,28.4,68.4,156,2.02,41.2
