sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T12:36:53.675688,16.0763024,108.1532979,35.0,81.9,117.9,903.0,184.0,28.4,68.4,151,1.8,33.6
2,2026-09-24T12:36:54.721239,16.0763024,108.1532979,35.0,84.5,124.8,904.0,182.0,28.4,68.3,153,1.82,33.4
3,2026-09-24T12:36:55.777759,16.0763024,108.1532979,35.0,83.8,118.6,901.0,175.0,28.4,68.9,153,1.86,35.4
4,2026-09-24T12:36:56.823697,16.0763024,108.1532979,35.0,84.7,130.7,895.0,181.0,28.4,68.1,153,1.86,37.0
5,2026-09-24T12:36:57.869486,16.0763024,108.1532979,35.0,87.5,133.0,885.0,173.0,28.5,68.6,155,1.84,37.1
6,2026-09-24T12:36:58.916122,16.0763024,108.1532979,35.0,89.1,129.4,887.0,173.0,28.4,68.0,156,1.82,38.5
7,2026-09-24T12:36:59.962101,16.0763024,108.1532979,35.0,89.9,134.9,875.0,185.0,28.4,68.7,157,1.86,38.4
8,2026-09-24T12:37:01.008790,16.0763024,108.1532979,35.0,91.5,132.3,865.0,180.0,28.4,68.6,158,1.91,38.6
9,2026-09-24T12:37:02.053501,16.0763024,108.1532979,35.0,94.5,146.0,863.0,164.0,28.4,68.2,160,1.94,38.8
10,2026-09-24T12:37:03.100073,16.0763024,108.1532979,35.0,94.7,146.8,854.0,154.0,28.5,68.1,160,1.89,40.2
