sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T17:40:14.274329,16.0771183,108.1530848,30,0.0,743.4,68.8,29.11,84.95,10,1.53,19.2
2,2026-05-15T17:40:16.275627,16.0771183,108.1530848,30,0.0,784.8,91.8,29.11,85.05,10,1.53,19.1
3,2026-05-15T17:40:18.276959,16.0771183,108.1530848,30,0.0,774.0,84.9,29.13,84.99,10,1.52,19.1
4,2026-05-15T17:40:20.278331,16.0771183,108.1530848,30,0.0,725.4,57.4,29.12,85.08,10,1.52,19.1
5,2026-05-15T17:40:22.279737,16.0771183,108.1530848,30,0.0,772.2,84.9,29.15,84.73,10,1.52,18.9
6,2026-05-15T17:40:24.281212,16.0771183,108.1530848,30,0.0,750.6,71.1,29.14,84.54,10,1.53,19.1
7,2026-05-15T17:40:26.282996,16.0771183,108.1530848,30,0.0,727.2,57.4,29.16,84.36,9,1.51,18.9
8,2026-05-15T17:40:28.284355,16.0771183,108.1530848,30,0.0,741.6,66.5,29.19,84.11,9,1.5,18.9
9,2026-05-15T17:40:30.285910,16.0771183,108.1530848,30,0.0,783.0,91.8,29.19,84.0,9,1.5,18.7
10,2026-05-15T17:40:32.287780,16.0771183,108.1530848,30,0.0,765.0,80.3,29.18,83.94,9,1.51,18.8
11,2026-05-15T17:40:34.289350,16.0771183,108.1530848,30,0.0,792.0,96.4,29.17,84.01,9,1.5,18.6
12,2026-05-15T17:40:36.290923,16.0771183,108.1530848,30,0.0,761.4,78.0,29.19,84.09,9,1.52,18.7
13,2026-05-15T17:40:38.292406,16.0771183,108.1530848,30,0.0,756.0,75.7,29.21,84.04,9,1.52,18.8
14,2026-05-15T17:40:40.293999,16.0771183,108.1530848,30,0.0,756.0,73.4,29.2,84.13,9,1.51,18.7
15,2026-05-15T17:40:42.295609,16.0771183,108.1530848,30,0.0,774.0,84.9,29.19,84.22,9,1.49,18.7
16,2026-05-15T17:40:44.297193,16.0771183,108.1530848,30,0.0,774.0,84.9,29.19,84.22,9,1.5,18.5
17,2026-05-15T17:40:46.298762,16.0771183,108.1530848,30,0.0,743.4,68.8,29.21,84.25,9,1.49,18.4
18,2026-05-15T17:40:48.300379,16.0771183,108.1530848,30,0.0,766.8,80.3,29.15,83.82,9,1.51,18.3
19,2026-05-15T17:40:50.301962,16.0771183,108.1530848,30,0.0,745.2,68.8,29.19,83.66,9,1.48,18.3
20,2026-05-15T17:40:52.303359,16.0771183,108.1530848,30,0.0,761.4,78.0,29.2,83.77,9,1.48,18.2
21,2026-05-15T17:40:54.304616,16.0771183,108.1530848,30,0.0,756.0,75.7,29.21,83.64,9,1.48,18.1
22,2026-05-15T17:40:56.306766,16.0771183,108.1530848,30,0.0,720.0,52.8,29.21,83.73,9,1.49,18.1
23,2026-05-15T17:40:58.308084,16.0771183,108.1530848,30,0.0,730.8,59.7,29.25,83.67,9,1.49,18.0
24,2026-05-15T17:41:00.309500,16.0771183,108.1530848,30,0.0,757.8,75.7,29.24,83.74,9,1.49,18.0
25,2026-05-15T17:41:02.310794,16.0771183,108.1530848,30,0.0,748.8,71.1,29.23,83.85,9,1.49,18.1
26,2026-05-15T17:41:04.312082,16.0771183,108.1530848,30,0.0,777.6,87.2,29.19,83.99,9,1.48,18.1
27,2026-05-15T17:41:06.313354,16.0771183,108.1530848,30,0.0,734.4,62.0,29.21,83.9,9,1.49,17.9
28,2026-05-15T17:41:08.314597,16.0771183,108.1530848,30,0.0,752.4,73.4,29.19,83.68,9,1.49,17.9
29,2026-05-15T17:41:10.315856,16.0771183,108.1530848,30,0.0,743.4,66.5,29.2,83.78,9,1.49,17.9
30,2026-05-15T17:41:12.317210,16.0771183,108.1530848,30,0.0,756.0,75.7,29.2,83.74,9,1.49,17.9
