sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:47:13.557810,16.0756676,108.1514104,30,0.0,849.6,133.1,30.53,19.47,8,1.58,15.7
2,2026-05-15T10:47:15.561615,16.0756676,108.1514104,30,0.0,876.6,149.1,30.53,19.47,8,1.56,15.7
3,2026-05-15T10:47:17.568335,16.0756676,108.1514104,30,0.0,851.4,133.1,30.54,19.47,8,1.55,15.8
4,2026-05-15T10:47:19.570890,16.0756676,108.1514104,30,0.0,860.4,140.0,30.55,19.47,8,1.56,15.6
5,2026-05-15T10:47:21.576872,16.0756676,108.1514104,30,0.0,842.4,128.5,30.54,19.47,8,1.57,15.8
6,2026-05-15T10:47:23.585581,16.0756676,108.1514104,30,0.0,858.6,137.7,30.54,19.47,8,1.58,15.7
7,2026-05-15T10:47:25.589934,16.0756676,108.1514104,30,0.0,858.6,137.7,30.54,19.47,8,1.58,15.6
8,2026-05-15T10:47:27.593178,16.0756676,108.1514104,30,0.0,856.8,135.4,30.55,19.47,8,1.57,15.8
9,2026-05-15T10:47:29.595539,16.0756676,108.1514104,30,0.0,873.0,146.8,30.56,19.47,8,1.57,15.8
10,2026-05-15T10:47:31.603094,16.0756676,108.1514104,30,0.0,855.0,135.4,30.55,19.47,8,1.57,15.6
11,2026-05-15T10:47:33.604836,16.0756676,108.1514104,30,0.0,887.4,156.0,30.56,19.47,8,1.58,15.7
12,2026-05-15T10:47:35.611033,16.0756676,108.1514104,30,0.0,856.8,137.7,30.55,19.47,8,1.57,15.7
13,2026-05-15T10:47:37.618439,16.0756676,108.1514104,30,0.0,871.2,146.8,30.57,19.47,8,1.57,15.8
14,2026-05-15T10:47:39.623777,16.0756676,108.1514104,30,0.0,873.0,146.8,30.58,19.47,8,1.57,15.6
15,2026-05-15T10:47:41.632111,16.0756676,108.1514104,30,0.0,851.4,133.1,30.55,19.47,8,1.59,15.7
16,2026-05-15T10:47:43.646954,16.0756676,108.1514104,30,0.0,867.6,144.6,30.58,19.47,8,1.57,15.8
17,2026-05-15T10:47:45.555255,16.0756676,108.1514104,30,0.0,891.0,158.3,30.59,19.47,8,1.56,15.6
18,2026-05-15T10:47:47.560665,16.0756676,108.1514104,30,0.0,838.8,126.2,30.58,19.47,8,1.57,15.5
19,2026-05-15T10:47:49.563274,16.0756676,108.1514104,30,0.0,865.8,142.3,30.57,19.47,8,1.58,15.7
20,2026-05-15T10:47:51.570858,16.0756676,108.1514104,30,0.0,842.4,128.5,30.55,19.47,8,1.57,15.8
21,2026-05-15T10:47:53.578803,16.0756676,108.1514104,30,0.0,885.6,156.0,30.58,19.47,8,1.57,15.6
22,2026-05-15T10:47:55.582827,16.0756676,108.1514104,30,0.0,833.4,121.6,30.57,19.47,8,1.57,15.9
23,2026-05-15T10:47:57.587208,16.0756676,108.1514104,30,0.0,853.2,133.1,30.57,19.47,8,1.57,15.8
24,2026-05-15T10:47:59.591820,16.0756676,108.1514104,30,0.0,862.2,140.0,30.57,19.47,8,1.57,15.6
25,2026-05-15T10:48:01.595542,16.0756676,108.1514104,30,0.0,865.8,142.3,30.58,19.47,8,1.56,15.7
26,2026-05-15T10:48:03.602769,16.0756676,108.1514104,30,0.0,898.2,162.9,30.59,19.47,8,1.56,15.5
27,2026-05-15T10:48:05.606079,16.0756676,108.1514104,30,0.0,898.2,162.9,30.59,19.47,8,1.56,15.7
28,2026-05-15T10:48:07.610839,16.0756676,108.1514104,30,0.0,882.0,153.7,30.58,19.47,8,1.56,15.7
29,2026-05-15T10:48:09.614859,16.0756676,108.1514104,30,0.0,837.0,123.9,30.56,19.47,8,1.57,15.6
30,2026-05-15T10:48:11.616675,16.0756676,108.1514104,30,0.0,876.6,149.1,30.59,19.47,8,1.57,15.6
