sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T20:22:06.358751,16.0750977,108.1541777,35.0,45.3,65.8,504.0,126.0,28.5,68.7,91,0.55,29.3
2,2026-09-24T20:22:07.405734,16.0750977,108.1541777,35.0,47.5,73.6,496.0,132.0,28.3,68.3,95,0.6,29.0
3,2026-09-24T20:22:08.452032,16.0750977,108.1541777,35.0,46.7,67.4,511.0,122.0,28.5,68.6,93,0.64,29.8
4,2026-09-24T20:22:09.498103,16.0750977,108.1541777,35.0,47.7,69.8,518.0,111.0,28.3,68.8,95,0.67,28.6
5,2026-09-24T20:22:10.543148,16.0750977,108.1541777,35.0,46.9,71.1,510.0,111.0,28.3,68.7,94,0.7,28.5
6,2026-09-24T20:22:11.588563,16.0750977,108.1541777,35.0,50.5,70.8,515.0,111.0,28.4,68.2,101,0.64,27.6
7,2026-09-24T20:22:12.633635,16.0750977,108.1541777,35.0,51.8,80.8,525.0,104.0,28.4,68.0,103,0.59,28.6
8,2026-09-24T20:22:13.679371,16.0750977,108.1541777,35.0,52.3,75.0,515.0,110.0,28.3,68.6,104,0.6,28.6
9,2026-09-24T20:22:14.726034,16.0750977,108.1541777,35.0,48.9,72.7,525.0,116.0,28.5,69.0,98,0.56,30.0
10,2026-09-24T20:22:15.771910,16.0750977,108.1541777,35.0,54.2,76.9,511.0,106.0,28.3,68.8,107,0.61,29.0
