sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:51:52.839791,16.0738719,108.1507787,30,0.0,844.2,128.5,30.75,19.47,8,1.55,15.1
2,2026-05-15T10:51:54.843222,16.0738719,108.1507787,30,0.0,849.6,133.1,30.74,19.47,8,1.57,15.2
3,2026-05-15T10:51:56.845245,16.0738719,108.1507787,30,0.0,844.2,128.5,30.76,19.47,8,1.57,15.2
4,2026-05-15T10:51:58.847987,16.0738719,108.1507787,30,0.0,873.0,146.8,30.74,19.47,8,1.56,15.2
5,2026-05-15T10:52:00.858420,16.0738719,108.1507787,30,0.0,874.8,149.1,30.75,19.47,8,1.56,15.3
6,2026-05-15T10:52:02.862522,16.0738719,108.1507787,30,0.0,882.0,153.7,30.75,19.47,8,1.55,15.3
7,2026-05-15T10:52:04.868972,16.0738719,108.1507787,30,0.0,855.0,135.4,30.74,19.47,8,1.57,15.4
8,2026-05-15T10:52:06.883054,16.0738719,108.1507787,30,0.0,869.4,144.6,30.71,19.47,8,1.57,15.2
9,2026-05-15T10:52:08.892264,16.0738719,108.1507787,30,0.0,842.4,126.2,30.71,19.47,34,1.57,15.1
10,2026-05-15T10:52:10.895641,16.0738719,108.1507787,30,0.0,846.0,128.5,30.72,19.47,8,1.56,15.0
11,2026-05-15T10:52:12.901617,16.0738719,108.1507787,30,0.0,880.2,151.4,30.74,19.47,8,1.58,15.4
12,2026-05-15T10:52:14.907068,16.0738719,108.1507787,30,0.0,865.8,142.3,30.77,19.47,8,1.56,15.2
13,2026-05-15T10:52:16.915823,16.0738719,108.1507787,30,0.0,869.4,144.6,30.76,19.47,8,1.57,15.3
14,2026-05-15T10:52:18.926350,16.0738719,108.1507787,30,0.0,869.4,144.6,30.75,19.47,8,1.57,15.3
15,2026-05-15T10:52:20.933420,16.0738719,108.1507787,30,0.0,921.6,181.3,30.76,19.47,8,1.57,15.4
16,2026-05-15T10:52:22.939297,16.0738719,108.1507787,30,0.0,882.0,153.7,30.72,19.47,8,1.56,15.4
17,2026-05-15T10:52:24.848619,16.0738719,108.1507787,30,0.0,864.0,142.3,30.71,19.47,8,1.56,15.3
18,2026-05-15T10:52:26.851726,16.0738719,108.1507787,30,0.0,869.4,144.6,30.72,19.47,8,1.57,15.2
19,2026-05-15T10:52:28.856168,16.0738719,108.1507787,30,0.0,874.8,146.8,30.74,19.47,8,1.57,15.2
20,2026-05-15T10:52:30.860816,16.0738719,108.1507787,30,0.0,874.8,146.8,30.74,19.47,8,1.56,15.1
21,2026-05-15T10:52:32.865106,16.0738719,108.1507787,30,0.0,883.8,153.7,30.76,19.47,8,1.56,15.2
22,2026-05-15T10:52:34.872718,16.0738719,108.1507787,30,0.0,856.8,137.7,30.77,19.47,8,1.56,15.1
23,2026-05-15T10:52:36.877024,16.0738719,108.1507787,30,0.0,840.6,126.2,30.79,19.47,8,1.57,15.3
24,2026-05-15T10:52:38.882661,16.0738719,108.1507787,30,0.0,871.2,144.6,30.81,19.47,8,1.55,15.1
25,2026-05-15T10:52:40.886788,16.0738719,108.1507787,30,0.0,865.8,142.3,30.78,19.47,8,1.56,14.9
26,2026-05-15T10:52:42.894320,16.0738719,108.1507787,30,0.0,869.4,144.6,30.81,19.47,8,1.56,15.1
27,2026-05-15T10:52:44.902955,16.0738719,108.1507787,30,0.0,851.4,133.1,30.83,19.47,8,1.56,15.3
28,2026-05-15T10:52:46.911243,16.0738719,108.1507787,30,0.0,849.6,133.1,30.78,19.47,8,1.56,15.0
29,2026-05-15T10:52:48.913776,16.0738719,108.1507787,30,0.0,806.4,103.3,30.78,19.47,8,1.57,15.1
30,2026-05-15T10:52:50.918371,16.0738719,108.1507787,30,0.0,847.8,130.8,30.79,19.47,8,1.56,15.0
