sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T19:24:20.976137,16.076107,108.152762,30,0.0,862.2,140.0,29.87,91.98,6,1.16,3.1
2,2026-05-15T19:24:22.977521,16.076107,108.152762,30,0.0,883.8,153.7,29.9,91.62,6,1.1,2.8
3,2026-05-15T19:24:24.979552,16.076107,108.152762,30,0.0,900.0,165.2,29.82,92.44,6,1.2,2.6
4,2026-05-15T19:24:26.980896,16.076107,108.152762,30,0.0,894.6,162.9,29.84,92.37,6,1.13,2.0
5,2026-05-15T19:24:28.982260,16.076107,108.152762,30,0.0,896.4,162.9,29.87,92.36,6,1.13,2.3
6,2026-05-15T19:24:30.983961,16.076107,108.152762,30,0.0,869.4,144.6,29.88,92.38,6,1.21,3.1
7,2026-05-15T19:24:32.985309,16.076107,108.152762,30,0.0,892.8,160.6,29.86,92.6,6,1.27,2.7
8,2026-05-15T19:24:34.986664,16.076107,108.152762,30,0.0,871.2,146.8,29.87,92.83,6,1.21,2.6
9,2026-05-15T19:24:36.988247,16.076107,108.152762,30,0.0,889.2,158.3,29.88,92.68,6,1.21,1.2
10,2026-05-15T19:24:38.990217,16.076107,108.152762,30,0.0,892.8,160.6,29.89,92.38,6,1.21,2.6
11,2026-05-15T19:24:40.991787,16.076107,108.152762,30,0.0,876.6,149.1,29.88,92.28,6,1.21,2.2
12,2026-05-15T19:24:42.993243,16.076107,108.152762,30,0.0,901.8,167.5,29.91,92.34,6,1.18,3.1
13,2026-05-15T19:24:44.994873,16.076107,108.152762,30,0.0,901.8,167.5,29.89,92.68,6,1.12,2.3
14,2026-05-15T19:24:46.996340,16.076107,108.152762,30,0.0,865.8,142.3,29.9,92.88,6,1.21,2.6
15,2026-05-15T19:24:48.997810,16.076107,108.152762,30,0.0,887.4,158.3,29.91,92.8,6,1.2,2.9
16,2026-05-15T19:24:50.999500,16.076107,108.152762,30,0.0,896.4,162.9,29.88,92.96,6,1.19,3.0
17,2026-05-15T19:24:53.000910,16.076107,108.152762,30,0.0,896.4,162.9,29.88,92.96,6,1.19,3.0
18,2026-05-15T19:24:55.004376,16.076107,108.152762,30,0.0,885.6,156.0,29.91,92.98,6,1.23,2.6
19,2026-05-15T19:24:57.005976,16.076107,108.152762,30,0.0,878.4,151.4,29.93,92.97,6,1.22,2.2
20,2026-05-15T19:24:59.007601,16.076107,108.152762,30,0.0,869.4,144.6,29.91,93.13,6,1.2,2.5
21,2026-05-15T19:25:01.009047,16.076107,108.152762,30,0.0,878.4,151.4,29.93,93.14,6,1.23,2.5
22,2026-05-15T19:25:03.010511,16.076107,108.152762,30,0.0,901.8,167.5,29.93,92.86,6,1.16,2.4
23,2026-05-15T19:25:05.011962,16.076107,108.152762,30,0.0,885.6,156.0,29.95,92.71,7,1.23,2.6
24,2026-05-15T19:25:07.013407,16.076107,108.152762,30,0.0,894.6,160.6,29.94,92.61,6,1.27,2.6
25,2026-05-15T19:25:09.014959,16.076107,108.152762,30,0.0,905.4,169.8,29.89,92.71,6,1.17,2.4
26,2026-05-15T19:25:11.016735,16.076107,108.152762,30,0.0,900.0,165.2,29.91,92.53,6,1.21,2.9
27,2026-05-15T19:25:13.018339,16.076107,108.152762,30,0.0,894.6,160.6,29.85,93.25,6,1.21,2.9
28,2026-05-15T19:25:15.019808,16.076107,108.152762,30,0.0,892.8,160.6,29.84,93.4,6,1.2,2.7
29,2026-05-15T19:25:17.021599,16.076107,108.152762,30,0.0,889.2,158.3,29.86,93.51,6,1.2,2.7
30,2026-05-15T19:25:19.023006,16.076107,108.152762,30,0.0,901.8,167.5,29.88,93.18,7,1.21,1.7
