sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T13:02:26.430692,16.0743766,108.1535769,35.0,39.8,59.9,612.0,137.0,28.3,68.6,80,0.59,27.7
2,2026-09-24T13:02:27.477459,16.0743766,108.1535769,35.0,43.1,66.9,610.0,127.0,28.4,68.9,86,0.52,28.1
3,2026-09-24T13:02:28.523378,16.0743766,108.1535769,35.0,43.0,62.2,599.0,122.0,28.3,68.3,86,0.5,27.5
4,2026-09-24T13:02:29.568685,16.0743766,108.1535769,35.0,45.9,68.3,587.0,122.0,28.4,68.2,92,0.5,28.2
5,2026-09-24T13:02:30.614361,16.0743766,108.1535769,35.0,49.9,76.2,577.0,123.0,28.4,68.1,100,0.58,28.6
6,2026-09-24T13:02:31.659375,16.0743766,108.1535769,35.0,49.2,73.5,570.0,118.0,28.4,68.7,98,0.57,28.8
7,2026-09-24T13:02:32.704962,16.0743766,108.1535769,35.0,47.3,69.0,574.0,124.0,28.5,68.0,95,0.56,28.7
8,2026-09-24T13:02:33.749824,16.0743766,108.1535769,35.0,50.0,74.1,557.0,120.0,28.4,69.0,100,0.58,29.2
9,2026-09-24T13:02:34.795105,16.0743766,108.1535769,35.0,54.8,80.2,579.0,112.0,28.3,68.2,108,0.66,29.3
10,2026-09-24T13:02:35.840507,16.0743766,108.1535769,35.0,55.7,83.8,587.0,105.0,28.4,68.3,109,0.7,30.0
