sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:50:43.706601,16.0728708,108.1522505,30,0.0,855.0,135.4,30.69,19.47,8,1.57,15.3
2,2026-05-15T10:50:45.710442,16.0728708,108.1522505,30,0.0,858.6,137.7,30.69,19.47,8,1.56,15.5
3,2026-05-15T10:50:47.716640,16.0728708,108.1522505,30,0.0,858.6,137.7,30.69,19.47,8,1.56,15.5
4,2026-05-15T10:50:49.721001,16.0728708,108.1522505,30,0.0,921.6,181.3,30.7,19.47,8,1.57,15.4
5,2026-05-15T10:50:51.732095,16.0728708,108.1522505,30,0.0,860.4,137.7,30.69,19.47,8,1.57,15.5
6,2026-05-15T10:50:53.735767,16.0728708,108.1522505,30,0.0,847.8,130.8,30.71,19.47,8,1.56,15.5
7,2026-05-15T10:50:55.738636,16.0728708,108.1522505,30,0.0,849.6,130.8,30.71,19.47,8,1.56,15.3
8,2026-05-15T10:50:57.741890,16.0728708,108.1522505,30,0.0,865.8,142.3,30.73,19.47,8,1.56,15.5
9,2026-05-15T10:50:59.750429,16.0728708,108.1522505,30,0.0,865.8,142.3,30.71,19.47,8,1.56,15.3
10,2026-05-15T10:51:01.762785,16.0728708,108.1522505,30,0.0,862.2,140.0,30.75,19.47,8,1.56,15.1
11,2026-05-15T10:51:03.776880,16.0728708,108.1522505,30,0.0,856.8,135.4,30.71,19.47,8,1.57,15.3
12,2026-05-15T10:51:05.780898,16.0728708,108.1522505,30,0.0,855.0,135.4,30.69,19.47,8,1.57,15.3
13,2026-05-15T10:51:07.787277,16.0728708,108.1522505,30,0.0,838.8,126.2,30.7,19.47,8,1.57,15.3
14,2026-05-15T10:51:09.794907,16.0728708,108.1522505,30,0.0,849.6,133.1,30.74,19.47,8,1.56,15.4
15,2026-05-15T10:51:11.801028,16.0728708,108.1522505,30,0.0,849.6,133.1,30.74,19.47,8,1.57,15.4
16,2026-05-15T10:51:13.706531,16.0728708,108.1522505,30,0.0,871.2,146.8,30.75,19.47,8,1.57,15.5
17,2026-05-15T10:51:15.714890,16.0728708,108.1522505,30,0.0,876.6,149.1,30.74,19.47,8,1.57,15.4
18,2026-05-15T10:51:17.716958,16.0728708,108.1522505,30,0.0,878.4,151.4,30.75,19.47,8,1.57,15.4
19,2026-05-15T10:51:19.723554,16.0728708,108.1522505,30,0.0,869.4,144.6,30.77,19.47,8,1.57,15.3
20,2026-05-15T10:51:21.727321,16.0728708,108.1522505,30,0.0,847.8,130.8,30.7,19.47,8,1.56,15.2
21,2026-05-15T10:51:23.739284,16.0728708,108.1522505,30,0.0,856.8,135.4,30.7,19.47,8,1.57,15.3
22,2026-05-15T10:51:25.746208,16.0728708,108.1522505,30,0.0,878.4,151.4,30.7,19.47,8,1.57,15.3
23,2026-05-15T10:51:27.749784,16.0728708,108.1522505,30,0.0,874.8,149.1,30.71,19.47,8,1.56,15.2
24,2026-05-15T10:51:29.752806,16.0728708,108.1522505,30,0.0,874.8,149.1,30.71,19.47,8,1.56,15.3
25,2026-05-15T10:51:31.759376,16.0728708,108.1522505,30,0.0,844.2,128.5,30.68,19.47,8,1.56,15.3
26,2026-05-15T10:51:33.770804,16.0728708,108.1522505,30,0.0,837.0,123.9,30.71,19.47,8,1.56,15.3
27,2026-05-15T10:51:35.774688,16.0728708,108.1522505,30,0.0,847.8,130.8,30.71,19.47,8,1.56,15.1
28,2026-05-15T10:51:37.778464,16.0728708,108.1522505,30,0.0,860.4,140.0,30.72,19.47,8,1.57,15.4
29,2026-05-15T10:51:39.785565,16.0728708,108.1522505,30,0.0,885.6,156.0,30.72,19.47,8,1.57,15.3
30,2026-05-15T10:51:41.793667,16.0728708,108.1522505,30,0.0,876.6,149.1,30.73,19.47,8,1.56,15.2
